uf,occupation,weight,income,sex,race,informal,age,years_of_study
RO,833,240.49527877,1600,1,1,0,28,12
RO,612,66.01338622,1000,2,4,1,50,12
RO,612,66.01338622,250,1,1,1,102,12
RO,611,70.06246594,2000,1,2,1,70,0
RO,611,77.08519966,4000,1,4,1,63,2
RO,611,91.47486165,2500,2,4,1,43,5
RO,612,91.47486165,1500,1,4,1,33,11
RO,612,85.17307573,1600,1,4,1,63,4
RO,612,85.17307573,2000,2,4,1,39,7
RO,611,80.19217795,2000,1,1,1,49,3
RO,611,80.19217795,2000,2,4,1,43,2
RO,541,94.87228675,2000,1,4,0,42,3
RO,612,111.00292184,1621,1,1,1,26,5
RO,611,97.02579811,3200,1,1,0,70,1
RO,611,105.28524387,1600,1,1,1,48,9
RO,612,125.55591477,900,2,1,1,40,12
RO,611,125.55591477,1600,1,2,1,48,5
RO,921,115.14266626,400,1,4,1,54,5
RO,612,118.22527448,1500,1,1,0,46,1
RO,612,118.22527448,1500,2,1,1,41,1
RO,611,116.02330098,1600,1,1,1,61,8
RO,611,116.02330098,1600,1,1,1,33,12
RO,611,106.0086749,1600,1,2,1,58,4
RO,611,106.0086749,1600,2,1,1,54,4
RO,611,118.93342195,1621,1,1,0,46,1
RO,611,118.93342195,1621,2,1,1,36,1
RO,612,145.24708856,1621,1,4,0,31,12
RO,832,177.18423967,1500,1,2,1,52,6
RO,911,139.3066378,1600,2,2,0,59,5
RO,411,183.41978164,7600,2,1,0,64,12
RO,741,183.41978164,2000,1,2,0,41,12
RO,235,183.41978164,1800,2,2,0,24,12
RO,524,148.86197357,2500,2,4,0,42,12
RO,911,148.86197357,3000,2,4,0,66,3
RO,226,164.57667479,1200,2,1,1,31,16
RO,741,165.33651154,2500,1,4,0,48,3
RO,911,173.81271317,1600,2,5,0,47,7
RO,832,173.81271317,1620,1,1,0,37,10
RO,911,143.47573208,2000,1,4,1,49,5
RO,911,134.2373931,2000,1,4,0,37,3
RO,514,120.57626809,4000,2,4,0,37,12
RO,612,133.84868814,5000,1,1,1,47,12
RO,911,133.84868814,2200,2,1,0,38,12
RO,612,147.80758847,2200,1,2,1,58,4
RO,612,147.80758847,2200,1,4,1,35,5
RO,612,117.94295623,5000,1,1,1,48,5
RO,622,118.09256796,4000,1,1,0,55,8
RO,911,113.06856447,1632,1,4,0,63,7
RO,612,112.2402932,100,1,4,1,69,2
RO,515,154.40822754,1700,2,4,0,28,12
RO,612,154.40822754,2000,1,2,0,31,8
RO,612,140.57274355,3000,1,1,0,33,6
RO,611,173.10482433,3500,1,1,0,23,12
RO,921,148.89800356,1600,1,2,0,29,6
RO,921,148.89800356,1500,2,4,0,39,12
RO,921,148.89800356,1400,2,4,1,19,12
RO,622,123.47399168,1500,2,2,1,41,12
RO,611,153.0968641,1500,2,4,1,30,10
RO,611,153.0968641,1601,1,4,1,33,12
RO,612,142.38706772,1000,1,3,1,30,8
RO,612,142.38706772,1000,2,4,1,57,5
RO,612,142.38706772,1000,1,4,1,48,0
RO,611,169.37172314,1601,1,4,1,24,15
RO,611,169.37172314,1000,2,4,1,23,16
RO,612,126.18719064,3500,1,4,1,58,6
RO,612,126.18719064,1600,2,1,1,45,8
RO,612,126.18719064,1601,2,1,1,18,12
RO,335,187.2671746,12000,1,2,0,37,16
RO,411,187.2671746,2000,2,2,0,29,16
RO,226,167.47741866,12000,2,1,0,40,16
RO,261,167.47741866,12000,1,1,0,37,16
RO,233,167.47741866,10000,2,1,0,68,16
RO,214,159.34053467,5000,1,4,1,42,16
RO,263,159.34053467,3500,2,1,1,33,16
RO,713,252.77000708,8000,1,4,0,22,12
RO,522,149.01569559,2500,2,1,0,36,14
RO,411,161.25830407,5000,2,4,0,36,16
RO,214,161.25830407,15000,1,2,0,46,16
RO,411,161.25830407,2000,2,1,0,18,12
RO,234,118.0670324,4000,2,4,0,70,16
RO,753,118.0670324,1200,2,4,1,57,12
RO,411,118.0670324,3000,2,1,1,44,16
RO,524,134.3519477,2000,2,4,1,56,8
RO,122,186.28504091,5000,1,1,0,26,16
RO,222,186.28504091,2500,2,4,0,28,16
RO,122,174.67996569,11500,1,4,0,33,16
RO,422,174.67996569,4000,2,4,0,31,13
RO,541,161.76606286,1621,1,4,0,39,12
RO,233,100.15174077,5000,2,1,0,47,16
RO,921,100.49361285,1000,1,1,1,50,4
RO,541,92.68869624,2700,1,2,0,52,9
RO,932,92.68869624,2000,2,2,0,49,12
RO,921,92.55887419,2000,1,1,1,59,9
RO,833,104.08363414,2000,1,2,1,58,5
RO,921,108.93537415,3000,1,2,1,53,0
RO,612,107.8072003,2000,1,1,1,55,5
RO,522,85.89503843,1518,2,1,0,60,12
RO,522,85.89503843,1518,1,1,0,63,12
RO,263,92.89391004,4500,1,4,1,50,12
RO,251,178.33266452,7000,1,4,0,36,15
RO,222,178.33266452,6000,2,4,0,30,16
RO,521,128.8093761,3000,1,2,1,60,2
RO,521,128.8093761,3000,2,1,1,58,9
RO,711,141.08412074,2000,1,1,1,59,8
RO,422,174.32184216,1518,1,4,0,21,12
RO,911,156.74111626,800,2,4,1,49,6
RO,522,156.74111626,1400,1,4,0,26,12
RO,832,206.96685723,2600,1,4,0,26,12
RO,833,168.59120093,5500,1,1,0,42,14
RO,512,168.59120093,3000,2,4,0,31,12
RO,833,166.59173224,2000,1,4,1,42,9
RO,234,166.59173224,4000,2,4,0,39,15
RO,411,166.59173224,1518,2,4,0,20,13
RO,331,200.36912631,1800,1,4,0,41,12
RO,742,200.36912631,8000,1,4,0,21,12
RO,933,200.36912631,1700,1,4,0,20,11
RO,834,86.75395458,4100,1,1,0,28,8
RO,612,70.56302177,2000,1,1,0,41,7
RO,921,84.88984479,2000,1,4,1,23,12
RO,612,75.17189139,5000,1,1,0,35,12
RO,711,75.17013062,3000,1,1,1,40,4
RO,612,70.782117,1621,1,2,0,33,12
RO,611,79.6688159,4000,1,4,0,31,16
RO,222,79.6688159,5000,2,2,1,27,16
RO,612,56.96299736,2000,1,4,1,59,5
RO,612,56.96299736,0,2,4,1,51,7
RO,921,62.42871588,500,1,2,1,56,0
RO,921,68.57128772,1800,1,1,1,56,6
RO,921,68.57128772,180,1,4,1,25,12
RO,921,68.57128772,180,1,1,1,18,12
RO,911,54.14175135,2100,1,1,0,64,0
RO,513,177.75438031,1600,1,1,0,32,12
RO,141,177.75438031,3000,2,1,0,32,12
RO,226,174.31620464,7000,2,1,0,37,16
RO,832,137.06579305,4600,1,4,0,64,12
RO,741,149.75368506,7000,1,4,1,41,12
RO,512,149.75368506,2600,2,4,1,53,9
RO,341,134.90448675,10000,1,1,0,58,12
RO,341,134.90448675,10000,2,1,0,60,16
RO,234,143.47508862,3100,2,4,0,49,16
RO,261,167.84691703,70000,1,2,0,58,16
RO,521,167.84691703,7000,2,1,1,54,8
RO,226,175.64618008,3000,2,4,0,38,16
RO,142,175.64618008,3000,1,4,0,33,12
RO,242,153.60958513,6000,1,4,0,64,16
RO,242,153.60958513,4000,2,4,0,63,16
RO,121,153.60958513,1600,1,4,0,33,16
RO,411,123.14362438,5800,2,4,0,66,12
RO,832,130.48621923,3000,2,1,1,47,12
RO,522,130.48621923,2000,2,4,0,40,12
RO,832,130.48621923,5000,1,3,1,44,12
RO,261,169.26142777,10000,1,4,0,48,16
RO,226,152.7548471,8000,1,2,0,36,16
RO,221,152.7548471,10000,2,1,0,38,16
RO,411,173.70358758,3000,1,4,0,27,16
RO,411,161.29515228,5000,1,4,0,39,16
RO,213,161.29515228,5000,2,2,0,36,16
RO,121,158.48562879,10000,1,1,0,38,16
RO,411,134.12196041,8000,2,4,0,72,16
RO,333,143.22495744,7000,2,4,1,58,16
RO,333,219.95450031,5000,1,4,0,25,16
RO,333,137.30642607,3500,1,2,1,45,12
RO,432,137.30642607,2500,2,2,0,45,12
RO,512,147.23067806,2000,2,4,1,40,12
RO,832,147.23067806,3000,1,4,1,39,9
RO,241,153.60369874,6000,2,1,0,36,16
RO,522,153.60369874,8000,1,1,0,40,16
RO,111,181.18672664,3800,2,1,0,51,11
RO,612,229.47678886,10000,1,4,1,44,6
RO,817,229.47678886,800,1,4,1,60,6
RO,612,176.22857138,1000,1,2,1,58,3
RO,612,217.38788781,4000,1,4,1,48,4
RO,911,204.93966847,1621,1,4,0,61,4
RO,612,228.94970473,600,1,4,1,52,5
RO,612,228.94970473,600,1,4,1,44,5
RO,911,222.99509069,3000,1,4,1,40,4
RO,911,207.68963547,2500,1,4,1,54,5
RO,325,91.26503601,3118,2,1,0,41,12
RO,921,91.26503601,2200,1,1,1,36,11
RO,612,69.29012953,1000,1,2,1,64,5
RO,612,74.52871179,4000,1,1,1,58,4
RO,612,74.52871179,0,2,4,1,54,6
RO,612,74.52871179,0,2,1,1,30,16
RO,512,86.5211952,1400,2,4,1,45,12
RO,711,86.5211952,1800,1,4,1,38,5
RO,611,74.62099323,900,1,4,1,54,12
RO,522,74.62099323,1688,2,4,0,49,6
RO,612,101.11124232,1621,1,2,1,26,10
RO,612,107.80527448,1621,1,4,1,31,12
RO,921,97.04232594,1000,1,4,1,34,10
RO,911,97.04232594,400,2,1,1,31,12
RO,723,85.54293982,2800,1,1,0,25,12
RO,612,58.0235455,5000,1,1,1,50,6
RO,612,65.97946156,1200,1,4,1,55,5
RO,611,62.90649195,600,1,4,1,43,3
RO,612,70.78470195,1900,1,4,0,19,10
RO,911,59.2878496,0,1,4,1,67,0
RO,612,71.24216188,1000,1,2,1,44,12
RO,234,71.24216188,3000,2,2,0,38,16
RO,41,70.14970162,3500,1,1,0,41,12
RO,524,128.39309122,5000,1,4,1,37,12
RO,832,128.39309122,4000,1,1,1,40,12
RO,522,119.25513004,4000,2,4,0,63,6
RO,513,119.25513004,1621,1,4,1,45,12
RO,411,121.42647845,3200,2,4,0,59,12
RO,911,97.51212272,1600,2,4,1,58,7
RO,961,123.42138588,800,1,4,1,54,6
